Time(ms),Angle(deg),Buzzer
78,65,OFF
256,66,OFF
434,67,OFF
612,68,OFF
791,66,OFF
970,66,OFF
1149,66,OFF
1327,67,OFF
1505,69,OFF
1684,66,OFF
1863,69,OFF
2041,65,OFF
2220,65,OFF
2398,62,OFF
2577,60,OFF
2756,50,OFF
2934,42,OFF
3112,37,OFF
3291,34,OFF
3469,33,OFF
3647,31,OFF
3826,32,OFF
4005,30,OFF
4183,30,OFF
4362,30,OFF
4540,30,OFF
4720,30,OFF
4898,30,ON
5076,30,ON
5254,30,ON
5432,30,ON
5610,30,ON
5789,30,ON
5967,30,ON
6145,30,ON
6323,30,ON
6501,30,OFF
6681,30,OFF
6859,30,OFF
7038,30,OFF
7216,30,OFF
7395,30,OFF
7573,32,OFF
7753,40,OFF
7931,39,OFF
8109,49,OFF
8287,49,OFF
8466,46,OFF
8645,53,OFF
8823,62,OFF
9001,63,OFF
9180,66,OFF
9358,65,OFF
9536,69,OFF
9716,69,OFF
9894,66,OFF
10072,72,OFF
10250,72,OFF
10429,77,OFF
10608,76,OFF
10787,76,OFF
10965,91,OFF
11143,80,OFF
11321,82,OFF
11500,81,OFF
11679,77,OFF
11858,76,OFF
12036,75,OFF
12215,75,OFF
12393,76,OFF
12572,68,OFF
12751,68,OFF
12929,67,OFF
13108,65,OFF
13286,63,OFF
13465,65,OFF
13644,62,OFF
13822,60,OFF
14000,64,OFF
14179,62,OFF
14357,66,OFF
14536,64,OFF
14715,63,OFF
14893,57,OFF
15071,55,OFF
15249,48,OFF
15429,52,OFF
15607,50,OFF
15785,53,OFF
15964,57,OFF
16142,57,OFF
16320,63,OFF
16500,69,OFF
16678,69,OFF
16856,68,OFF
17035,72,OFF
17213,76,OFF
17392,77,OFF
17571,75,OFF
17749,69,OFF
17928,69,OFF
18106,69,OFF
18284,63,OFF
18464,59,OFF
18642,58,OFF
18821,54,OFF
18999,47,OFF
19177,48,OFF
19356,52,OFF
19535,57,OFF
19713,60,OFF
19891,65,OFF
20070,65,OFF
20249,65,OFF
20428,69,OFF
20606,68,OFF
20784,66,OFF
20963,67,OFF
21141,65,OFF
21320,67,OFF
21499,65,OFF
21677,68,OFF
21855,68,OFF
22034,67,OFF
22213,67,OFF
22392,66,OFF
22570,67,OFF
22748,66,OFF
22927,69,OFF
23105,69,OFF
23285,66,OFF
23463,66,OFF
23641,68,OFF
23820,67,OFF
23998,69,OFF
24178,68,OFF
24356,68,OFF
24535,67,OFF
24713,66,OFF
24891,69,OFF
25071,68,OFF
25249,67,OFF
25427,65,OFF
