Time (ms),Servo Angle (deg),Buzzer
78,68,OFF
256,67,OFF
434,68,OFF
613,68,OFF
791,69,OFF
971,67,OFF
1149,69,OFF
1328,69,OFF
1506,69,OFF
1684,66,OFF
1863,53,OFF
2042,52,OFF
2220,32,OFF
2398,31,OFF
2576,30,OFF
2756,38,OFF
2934,47,OFF
3112,52,OFF
3290,55,OFF
3468,65,OFF
3647,63,OFF
3826,55,OFF
4004,44,OFF
4182,31,OFF
4360,30,OFF
4538,30,ON
4716,30,ON
4895,30,ON
5074,30,ON
5252,30,ON
5430,30,ON
5608,30,ON
5787,30,ON
5965,30,ON
6143,30,ON
6321,30,ON
6500,30,ON
6678,30,ON
6857,30,ON
7035,30,ON
7213,30,ON
7391,30,ON
7569,30,ON
7748,30,ON
7926,30,ON
8104,30,ON
8282,30,ON
8460,30,ON
8639,30,ON
8818,30,ON
8996,30,ON
9174,30,ON
9352,30,ON
9530,30,OFF
9708,30,OFF
9888,30,OFF
10066,30,OFF
10245,32,OFF
10423,46,OFF
10601,36,OFF
10780,43,OFF
10958,34,OFF
11136,56,OFF
11314,63,OFF
11493,65,OFF
11671,68,OFF
11850,67,OFF
12029,68,OFF
12207,68,OFF
12386,65,OFF
12564,67,OFF
12744,67,OFF
12922,67,OFF
13101,69,OFF
13279,67,OFF
13457,65,OFF
13637,67,OFF
13815,68,OFF
13994,68,OFF
14172,65,OFF
14351,66,OFF
14529,67,OFF
14708,65,OFF
14887,69,OFF
15065,67,OFF
15243,65,OFF
15422,65,OFF
15601,67,OFF
15780,68,OFF
15958,65,OFF
16137,66,OFF
16315,67,OFF
16495,68,OFF
16673,67,OFF
16852,69,OFF
17030,68,OFF
17208,67,OFF
17387,67,OFF
17566,68,OFF
17745,68,OFF
17923,65,OFF
18102,66,OFF
18280,65,OFF
18460,67,OFF
